Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_1of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_2of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_3of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_4of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_5of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_6of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_7of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_8of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_9of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_10of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_11of12,Cells_RadialDistribution_MeanFrac_mito_tubeness_CEN_12of12,ImageNumber,ObjectNumber,subject,label,peak,slope
0.8521227364948436,1.40265730628889,0.9984207556988671,0.0589694051044353,-0.9593079827455633,0.7700579578149813,0.8235948266628792,-1.435891951074395,-1.0420881171167655,0.4624500679162211,2.121373233102694,2.315264508330452,1,2,100,SZ,8.0,1.1390237743746685
0.37534382147705747,0.15222407957202996,-0.21939915964284534,0.14414411619182754,-0.5646652236628379,-0.6029095530884175,-0.4430581558746433,0.5777783054965729,0.11622377996896517,-0.39325888690375504,0.2987957694237559,0.15573972473058076,1,3,100,SZ,5.0,0.15048503491414975
1.9725086106886651,0.7561765565292377,2.9498817300170725,0.8914756761454493,0.06889891521805239,-1.6010305627258985,-2.2962877093115517,-1.7296970019336748,-0.8318967743352677,0.08558870705247319,1.4709627621556183,-0.8292114456226447,2,1,100,SZ,6.0,0.28568598707616055
0.2961358558859693,0.49932821925603477,2.0336512982970003,0.24764360876143576,0.7683618137768501,0.7371309232266077,0.8968912333085797,0.33597962315199975,0.6017733627481998,1.4386637286317054,0.08163867826040405,0.5767904510819196,2,3,100,SZ,2.0,-0.0747940550838026
-0.680289604644632,-0.013090774353313748,-0.16577335837111054,-0.5688751526640351,-0.9570351185593297,-1.0921111079592907,-1.048233060157819,-1.1873066287552816,-0.8538596559466418,0.49947123597827936,0.9232409006816628,-0.08976037174555282,2,5,100,SZ,7.0,0.2669191066917247
0.08121631728618954,-0.10211260777951364,-1.02100347393374,-1.6328290307221043,-1.6113876805043865,-1.9226478533008478,-1.7863286110086563,-1.4666632482132174,0.44610137915717696,1.4544050573632177,0.976018467530894,0.2696727793386829,2,6,100,SZ,9.0,-0.526617550135393
-0.8929421651961205,-0.10743005613511741,0.4595105945494849,0.9728178637641559,-0.2997787671075858,-1.4463885346875802,-1.0030160830921477,-0.9876027990561888,-0.4429613965015219,-0.2600201677002812,-0.7001160329972996,-0.041362661181958096,2,7,100,SZ,6.0,0.2376665380543904
1.3451186790479985,0.02610928296668262,-0.6711284533538275,-0.780299462110973,0.029844804570826937,-0.4933230322833613,-1.4926981126620416,-0.5113183582301355,0.295885324157226,0.8149429380660547,1.359318594923312,1.2579974971741545,3,5,100,SZ,6.0,0.47389089624678327
-0.10116168019892757,0.11550406484028922,-0.7059318165841227,-0.45376263160700764,0.0277177664160152,-0.9193470579574599,-0.8691602807841617,-0.865581291506832,-0.998929917154169,-0.5531032834471914,1.5012219207145843,0.7069283762313948,3,6,100,SZ,8.0,0.6036944942291321
0.6772196355590311,-0.19018018846444573,0.46876959563031734,-0.25100327596405286,-0.8562075545275446,-1.2464864065790193,-1.5327915971468162,-1.3455394302779482,-1.009618154710107,1.1980374666705373,1.3308044316649381,0.20789751158097464,3,7,100,SZ,7.0,0.41522310382759375
